iter	RMSE
0	167.9787417
1	165.8446854
2	164.0424821
3	162.5587213
4	161.2839065
5	160.1612574
6	159.2747806
7	158.4688813
8	157.751705
9	157.0032294
10	156.524036
11	155.9869598
12	155.5942817
13	155.1837757
14	154.846018
15	154.4428097
16	154.1085164
17	153.8227679
18	153.5730944
19	153.356663
20	153.13025
21	152.8887653
22	152.7084525
23	152.5412272
24	152.3259649
25	152.0783774
26	151.9236881
27	151.7965424
28	151.6397047
29	151.480171
30	151.3340771
31	151.1925026
32	151.035217
33	150.9094102
34	150.8136082
35	150.6673113
36	150.5339225
37	149.9536757
38	149.8330816
39	149.7031817
40	149.1611802
41	149.0626392
42	148.9702897
43	148.7705921
44	148.6778939
45	148.2916474
46	148.2165493
47	148.1148729
48	148.0273214
49	147.8561712
50	147.7689203
51	147.6988182
52	147.2575094
53	147.1702506
54	147.0894427
55	146.5419314
56	146.4691533
57	146.286819
58	146.2107867
59	146.1460376
60	146.0710436
61	146.0041627
62	145.6893306
63	145.2862861
64	144.9284066
65	144.8387925
66	144.7307563
67	144.6712199
68	144.3417545
69	143.9416199
70	143.8966947
71	143.6793661
72	143.6208655
73	143.5123771
74	143.2479397
75	143.190087
76	143.1626826
77	143.0977357
78	143.030255
79	142.976078
80	142.9269885
81	142.8796167
82	142.5590966
83	142.5005157
84	142.4629793
85	142.4162756
86	141.9262756
87	141.9025889
88	141.6890834
89	141.6449894
90	141.6034853
91	141.5468894
92	141.5084252
93	141.4791745
94	141.4551769
95	141.3217343
96	141.259807
97	140.9735253
98	140.9403347
99	140.8482968
100	140.7949211
101	140.7588907
102	140.7263482
103	140.6953319
104	140.6075436
105	140.4473541
106	140.4158575
107	140.3392375
108	140.1387534
109	140.1130217
110	140.0111504
111	139.9823706
112	139.7921653
113	139.6365026
114	139.5884598
115	139.4581211
116	139.4079587
117	139.3809752
118	139.2090212
119	139.1837641
120	139.151523
121	139.0162519
122	138.9095256
123	138.8853585
124	138.8351181
125	138.6847929
126	138.3962675
127	138.3657107
128	138.2701071
129	138.2347431
130	138.2070835
131	138.073036
132	137.8871926
133	137.8578953
134	137.8216159
135	137.7879004
136	137.5842905
137	137.5562207
138	137.4623058
139	137.2479524
140	137.1694106
141	137.1418005
142	137.0773409
143	137.0279255
144	136.9968377
145	136.9745483
146	136.9057237
147	136.8465041
148	136.8128018
149	136.6009051
150	136.5776135
151	136.5049424
152	136.417271
153	136.3002802
154	136.2779427
155	136.1399625
156	136.0772382
157	136.0619188
158	136.0340138
159	135.8399413
160	135.8203025
161	135.7871322
162	135.7429605
163	135.6398906
164	135.6162196
165	135.5714508
166	135.4788533
167	135.4581368
168	135.4351197
169	135.4190271
170	135.2059167
171	135.0639356
172	135.0428927
173	135.0033534
174	134.8918429
175	134.434366
176	134.2790482
177	134.1258318
178	134.038214
179	133.9302407
180	133.8359074
181	133.8027771
182	133.6788185
183	133.4648381
184	133.437997
185	133.4208046
186	133.3904144
187	133.3769127
188	133.3594859
189	133.3429317
190	133.3287507
191	133.2792065
192	133.2159341
193	133.0739193
194	132.9954197
195	132.9766069
196	132.9473417
197	132.8719212
198	132.8504595
199	132.8183459
200	132.8095912
201	132.7260346
202	132.582454
203	132.4328263
204	132.4183063
205	132.394771
206	132.3659124
207	132.2693874
208	132.2568987
209	132.1108605
210	132.0244528
211	131.9645854
212	131.9377226
213	131.8921077
214	131.8460288
215	131.780781
216	131.7680998
217	131.7474286
218	131.7271417
219	131.7194031
220	131.6974163
221	131.6673796
222	131.647756
223	131.6218723
224	131.5448987
225	131.3824781
226	131.0855479
227	130.9877693
228	130.8494548
229	130.7220043
230	130.6796938
231	130.5564687
232	130.5012413
233	130.4795952
234	130.4412767
235	130.2594431
236	130.1418368
237	130.0622809
238	130.0108361
239	129.9912291
240	129.9710597
241	129.7324672
242	129.6006494
243	129.5208003
244	129.427097
245	129.4119299
246	129.4017855
247	129.3874161
248	129.3074448
249	129.2627025
250	129.2494803
251	129.1699619
252	129.1531635
253	129.1201425
254	129.0520937
255	128.8891602
256	128.8398946
257	128.820293
258	128.7980447
259	128.7837921
260	128.757046
261	128.7467564
262	128.7362
263	128.7222383
264	128.6924909
265	128.6750075
266	128.6305979
267	128.6221615
268	128.5939005
269	128.5781112
270	128.5549383
271	128.5061867
272	128.4853519
273	128.4675146
