iter	Passed	Remaining
0	50	50397
1	105	52693
2	175	58350
3	231	57725
4	290	57899
5	340	56415
6	401	56971
7	454	56332
8	508	55953
9	564	55864
10	617	55496
11	672	55402
12	730	55487
13	784	55256
14	843	55385
15	902	55506
16	976	56478
17	1051	57388
18	1111	57391
19	1160	56840
20	1216	56701
21	1275	56718
22	1349	57323
23	1414	57507
24	1473	57481
25	1540	57702
26	1603	57801
27	1669	57944
28	1735	58107
29	1796	58101
30	1912	59767
31	1999	60497
32	2074	60788
33	2132	60580
34	2188	60331
35	2243	60072
36	2301	59892
37	2357	59688
38	2411	59434
39	2470	59298
40	2523	59026
41	2585	58966
42	2638	58717
43	2687	58396
44	2737	58095
45	2806	58211
46	2913	59073
47	2965	58821
48	3020	58621
49	3067	58284
50	3119	58040
51	3166	57736
52	3219	57517
53	3264	57197
54	3323	57111
55	3372	56842
56	3422	56614
57	3481	56550
58	3535	56386
59	3582	56120
60	3632	55910
61	3683	55723
62	3730	55489
63	3776	55233
64	3822	54985
65	3875	54841
66	3927	54696
67	3994	54750
68	4049	54635
69	4101	54491
70	4152	54338
71	4198	54108
72	4250	53979
73	4303	53848
74	4355	53720
75	4407	53580
76	4460	53472
77	4520	53435
78	4572	53312
79	4622	53161
80	4677	53068
81	4728	52938
82	4776	52774
83	4833	52703
84	4879	52524
85	4926	52361
86	4977	52240
87	5024	52070
88	5073	51934
89	5126	51830
90	5176	51710
91	5234	51661
92	5284	51539
93	5338	51455
94	5393	51375
95	5443	51257
96	5496	51171
97	5551	51092
98	5611	51072
99	5667	51005
100	5720	50919
101	5769	50797
102	5822	50707
103	5873	50600
104	5930	50553
105	5991	50530
106	6048	50477
107	6105	50427
108	6154	50309
109	6196	50136
110	6258	50122
111	6307	50011
112	6362	49941
113	6408	49804
114	6460	49716
115	6514	49645
116	6562	49530
117	6620	49486
118	6668	49370
119	6712	49223
120	6764	49138
121	6811	49017
122	6856	48890
123	6903	48770
124	6959	48717
125	7012	48644
126	7064	48559
127	7114	48469
128	7164	48371
129	7211	48259
130	7266	48200
131	7320	48136
132	7368	48036
133	7424	47983
134	7484	47954
135	7547	47945
136	7594	47842
137	7644	47751
138	7697	47680
139	7750	47611
140	7811	47591
141	7862	47506
142	7922	47482
143	7982	47454
144	8041	47415
145	8087	47303
146	8149	47286
147	8200	47207
148	8251	47128
149	8299	47031
150	8351	46955
151	8415	46948
152	8478	46934
153	8528	46851
154	8585	46806
155	8637	46731
156	8701	46723
157	8749	46626
158	8801	46555
159	8851	46469
160	8904	46405
161	8959	46346
162	9016	46298
163	9071	46243
164	9125	46182
165	9185	46147
166	9236	46074
167	9292	46021
168	9348	45968
169	9407	45930
170	9465	45890
171	9516	45813
172	9570	45749
173	9626	45700
174	9672	45599
175	9729	45552
176	9785	45500
177	9847	45474
178	9907	45443
179	9969	45417
180	10027	45371
181	10090	45351
182	10145	45292
183	10206	45264
184	10266	45229
185	10321	45171
186	10381	45133
187	10433	45063
188	10482	44981
189	10530	44894
190	10582	44821
191	10640	44777
192	10691	44706
193	10744	44640
194	10794	44563
195	10858	44541
196	10916	44498
197	10996	44540
198	11063	44532
199	11122	44490
200	11185	44464
201	11260	44484
202	11340	44522
203	11415	44542
204	11467	44473
205	11527	44430
206	11580	44362
207	11636	44307
208	11700	44282
209	11754	44217
210	11810	44162
211	11861	44088
212	11919	44039
213	11972	43972
214	12030	43925
215	12079	43843
216	12126	43755
217	12175	43674
218	12225	43598
219	12273	43514
220	12321	43433
221	12376	43375
222	12433	43320
223	12481	43241
224	12533	43170
225	12591	43124
226	12653	43087
227	12712	43044
228	12770	42995
229	12822	42927
230	12875	42864
231	12924	42783
232	12984	42743
233	13039	42686
234	13091	42618
235	13151	42574
236	13209	42527
237	13264	42469
238	13317	42405
239	13374	42351
240	13433	42306
241	13571	42509
242	13627	42451
243	13683	42396
244	13736	42329
245	13800	42299
246	13850	42223
247	13902	42156
248	13997	42218
249	14050	42151
250	14100	42077
251	14159	42028
252	14214	41968
253	14267	41903
254	14316	41825
255	14372	41768
256	14432	41723
257	14487	41664
258	14539	41597
259	14598	41550
260	14655	41497
261	14699	41405
262	14750	41335
263	14804	41272
264	14861	41219
265	14914	41155
266	14967	41090
267	15023	41033
268	15076	40968
269	15126	40898
270	15175	40823
271	15226	40753
272	15289	40716
273	15346	40661
274	15400	40601
275	15450	40529
276	15505	40471
277	15562	40416
278	15615	40353
279	15664	40281
280	15718	40218
281	15771	40156
